Job Title,Founded,Size,Max,Min,Level of expireince,experience,cat
Data Scientist,6,1,80000,46000,1,2,2
Quantitative Researcher – Intern (US),20,1,80000,46000,1,2,5
Staff Business Intelligence Analyst,7,3,80000,46000,1,6,2
"Data Scientist, Advanced Analytics",21,1,80000,46000,1,3,2
Data Scientist 2,61,3,80000,46000,2,2,2
Data Scientist (remote),120,3,80000,46000,2,3,2
Data Analyst,21,1,80000,46000,1,1,2
Data Scientist,78,3,80000,46000,2,1,2
Data Scientist,23,3,80000,46000,2,2,2
Data Scientist - Nationwide Opportunities,28,3,130000,79000,1,4,2
Business Systems & Data Analyst,23,1,130000,79000,1,4,2
Data Scientist,7,3,130000,79000,2,10,2
"Quantitative Researcher, Global Quantitative Strategies",32,3,130000,79000,3,5,5
Senior Data Scientist,10,1,130000,79000,2,5,3
Data Scientist,16,1,130000,79000,1,4,2
Data Scientist/AI Scientist,3,3,130000,79000,1,2,2
Data & Analytics Consultant,30,1,130000,79000,1,8,2
Data Scientist - Consultant,55,3,130000,79000,1,3,2
Data Scientist,7,1,130000,79000,3,2,2
Data Engineer,32,3,130000,79000,1,1,2
Data Scientist,24,3,130000,79000,2,5,2
Data Engineer,22,1,130000,79000,1,2,2
Product Data Analyst,22,1,130000,79000,2,1,2
Senior Data Scientist,48,3,105000,91000,1,5,3
Senior Data Scientist,18,3,105000,91000,1,4,3
"Principal Data Scientist, Cat Digital",97,3,105000,91000,3,7,2
"Applied Data Scientist, Government",9,1,105000,91000,1,2,2
Data Scientist/AI Scientist,41,1,105000,91000,1,2,2
"Data Scientist, Analytics Advisor",59,3,105000,91000,1,3,2
Senior Data Scientist (Multiple Openings),99,3,105000,91000,2,3,3
Data Scientist,14,1,105000,91000,1,3,2
"Wealth Management, MIS Data Scientist, Associate",223,3,105000,91000,1,3,2
Data & Machine Learning Scientist,23,1,105000,91000,2,3,2
Data Scientist,128,3,105000,91000,2,3,2
Data Scientist,46,3,105000,91000,1,5,2
Senior Data Scientist,61,3,105000,91000,2,3,3
Quantum Data Scientist (Industrial-Process sector),111,3,105000,91000,3,2,2
Data Scientist (Remote),11,1,105000,91000,2,5,2
Quantitative Researcher/Strategy Developer,15,1,105000,91000,1,2,5
Data Scientist,30,1,105000,91000,1,1,2
Data Scientist,21,1,56000,31000,1,7,2
Data & Machine Learning Scientist,7,1,56000,31000,1,2,2
"Quantitative Research Intern, Summer 2021",11,1,56000,31000,1,2,1
"Senior Applied Data Scientist, Government",9,1,56000,31000,1,4,3
Food Scientist,17,3,56000,31000,1,3,2
Analytics Consultant,16,1,56000,31000,1,5,2
